x: 3, y: 2, z: 16, score: 4646.170847605918
x: 3, y: 3, z: 0, score: 3088.2694761979196
x: 3, y: 3, z: 1, score: 8434.919654685526
x: 3, y: 3, z: 2, score: 4355.483762538969
x: 3, y: 3, z: 3, score: 1707.6312293039628
x: 3, y: 3, z: 4, score: 2161.72312629862
x: 3, y: 3, z: 5, score: 3481.9183834406745
x: 3, y: 3, z: 6, score: 4301.531548012946
x: 3, y: 3, z: 7, score: 4894.164443881805
x: 3, y: 3, z: 8, score: 5649.819061119763
x: 3, y: 3, z: 9, score: 2353.2287672132175
x: 3, y: 3, z: 10, score: 3087.8357248661464
x: 3, y: 3, z: 11, score: 4875.506131090042
x: 3, y: 3, z: 12, score: 2628.693614278254
x: 3, y: 3, z: 13, score: 1874.562560344408
x: 3, y: 3, z: 14, score: 1390.3982428819616
x: 3, y: 3, z: 15, score: 3019.376079226757
x: 3, y: 3, z: 16, score: 6725.583443794683
x: 3, y: 4, z: 0, score: 4314.618233086824
x: 3, y: 4, z: 1, score: 5119.518815435781
x: 3, y: 4, z: 2, score: 5099.420953247977
x: 3, y: 4, z: 3, score: 1529.606757333916
x: 3, y: 4, z: 4, score: 1352.696575379539
x: 3, y: 4, z: 5, score: 2770.4901814946784
x: 3, y: 4, z: 6, score: 1947.2572772245203
